content,score,cleaned_content,sentiment
inbox chat penjual dengan inbox notifikasi jangan digabungkan. jadi males buka inboxnya,4,inbox chat jual inbox notifikasi gabung males buka inboxnya,netral
beautiful.,5,beautiful,netral
Di apgret malah semakin Lelet ajah bukan nyah semakin gesit,5,apgret lelet ajah nyah gesit,netral
"heran. ""Tokopedia care"" tidak membantu sama sekali. saya punya masalah A tapi solusinya untuk masalah B. saya sudah jelaskan rincinya, jawabannya tetep sama. template lagi. oknum sellernya juga sama. di baikin malah ngelunjak, paling bener emang harus di maki-maki.",1,heran tokopedia care bantu a solusi b rincinya jawab tetep template oknum sellernya baikin ngelunjak bener emang makimaki,positif
"Tokopedia kalau tidak berkerjasama sama tiktok, saya tidak akan belanja di Tokopedia, dulu saya pernah ketipu, sama toko2 tersebut, barangnya dan ongkir tidak ada cerita murah...?",2,tokopedia berkerjasama tiktok belanja tokopedia tipu toko barang ongkir cerita murah,netral
"tokped bnyk penjual penipu,beli pempes 1 dus,yg dtang mlh casing hp,pmbyran udh TF dluan yg nympe GK sesuai kacau",1,tokped bnyk jual penipubeli pempes dusyg dtang mlh casing hppmbyran tf dluan yg nympe sesuai kacau,positif
"banyakin promonya,tkx mantap",5,banyakin promonyatkx mantap,positif
bangga,5,bangga,positif
Aplikasi OK,5,aplikasi oke,netral
"isi saldo tapcash status berhasil, tapi belum masuk di kartu. . mengecewakan",1,isi saldo tapcash status hasil masuk kartu kecewa,positif
Update segera,5,update,netral
"TOLONG PERBAIKI APLIKASI BUG INI ! di aplikasinya tertulis ada proses transaksi, tapi di cek tidak ada. SAYA TIDAK BISA MENUTUP AKUN KARENA BUG MENYEBALKAN INI !!! semenjak join tiktok JADI BURUK!!",1,tolong baik aplikasi bug aplikasi tulis proses transaksi cek tutup akun bug sebal semenjak join tiktok buruk,negatif
"tidak bisa diakses, selalu muncul halaman masukkan kode verifikasi, begitu seterusnya, setelah diisi kode verifikasi, muncul halaman masukkan kode verifikasi, begitu seterusnya.",1,akses muncul halaman masuk kode verifikasi isi kode verifikasi muncul halaman masuk kode verifikasi,negatif
ongkos kirim di tokopedia terlalu mahal untuk pengiriman dari pulau jawa ke pulau sumatra. masa ongkos kirim lebih mahal dibandingkan harga barang yang akan dibeli. mending belanja di toko oren,1,ongkos kirim tokopedia mahal kirim pulau jawa pulau sumatra ongkos kirim mahal banding harga barang beli mending belanja toko oren,positif
kok Akhir akhir ini Aplikasi Tokopedia tiba2 Terhenti sih saat di gunakan,1,aplikasi tokopedia henti sih,negatif
balikin tokped yg DULU deh intinya,1,balikin tokped yg deh inti,netral
banyak iklan,1,iklan,netral
Tokopedia memang membantu sangat memuaskan terimakasih,5,tokopedia bantu muas terimakasih,positif
keren,5,keren,netral
mantap kinerja toped,5,mantap kerja toped,positif
"semakin aneh sekarang, Ulasan barang yg sudah kita beli yg sudah kita ulas sudah tidak ada walaupun sudah difilter, begitupun dg transaksi/sudah tiba walau difilter pun gak muncul, toko2 yg sudah difollow oun pada hilang, lamaw bakal ganti nama jadi tiktok shop",1,aneh ulas barang yg beli yg ulas filter dg transaksisudah filter muncul toko yg difollow oun hilang lamaw ganti nama tiktok shop,netral
mantab boss,5,mantab boss,netral
lumayan,4,lumayan,netral
mantap,4,mantap,positif
bagus walaupun aga mahal dari toko Oren,5,bagus aga mahal toko oren,positif
"pantes ni aplikasi kagak laku kalau gaada tiktok, ketolong tiktok, orang pun lebih suka CO dari tiktok krn pembatalan pengiriman sebelum di konfirmasi penjual masih bisa, ini metode QRIS harusnya belum sampai ke penjual harusnya gampang untuk pembatalan nya, tapi apa apk doang yg batalin tp nunggu seller, bikin kurang nyaman kita sebagai pembeli ketika salah CO atau informasi pengiriman kurang tepat... #indopride",1,pantes ni aplikasi kagak laku gaada tiktok tolong tiktok orang suka co tiktok krn batal kirim konfirmasi jual metode qris jual gampang batal nya apk doang yg batalin nunggu seller bikin nyaman beli salah co informasi kirim indopride,netral
gk pesen apa2 uang di dana diambil,1,sen uang dana ambil,netral
"hanya toko pedia yg terpercaya amanah,,cepat dan aman,,",4,toko dia yg percaya amanahcepat aman,netral
makasih,5,makasih,positif
mudah,4,mudah,netral
"tokped lagi kenapa dah, sampah banget ni gabisa dibuka +ngelag parah",5,tokped sampah banget ni gabisa buka ngelag parah,negatif
Riwayat transaksi nya tidak ada sudah di update juga tetep ga ada ilang ANEH,1,riwayat transaksi nya update tetep ilang aneh,netral
👍🏻👍🏻,4,,netral
"pesanan padahal udah mau sampe, terus tiba-tiba dibatalkan sistem hadeh",1,pesan sampe tibatiba batal sistem hadeh,negatif
masih bagus dan terpercaya,5,bagus percaya,positif
saya sdh uninstal ya kak apk nya. Terima kasih atas saran nya. saya titip data saya. sukses trus buat Tokopedia🙏,5,uninstal ya kak apk nya terima kasih saran nya titip data sukses trus tokopedia,positif
👍👍👍👍👍,5,,netral
mau lihat toko yg difollow dimana kok hilang,1,lihat toko yg difollow mana hilang,positif
kenapa error terus,5,error,negatif
mengerikan. banyak errornya. lama pula,1,keri errornya,negatif
"tidak bisa cetak struk seperti mitra toko pedia,,dan klo mau beli pulsa nmer yg terpisah pisah tidak terbaca otomotis, seperti mitra toko pedia. tolong kembalikan mitratokopedia",1,cetak struk mitra toko diad beli pulsa nmer yg pisah pisah baca otomotis mitra toko dia tolong kembali mitratokopedia,negatif
SAYA KASIH BINTANG 1 KARENA ONGKIRNYA MAHAL MASAK BARANG HARGA 10RIBU ONGKIR 22RB HADEH MENDING TOKO OREN GRATIS ONGKIR,1,kasih bintang ongkirnya mahal masak barang harga ribu ongkir rb hadeh mending toko oren gratis ongkir,positif
"Makin lama makin berat nih aplikasi, shopee yg ada video aja kaga berat, nih aplikasi yg fungsinya untuk beli aja kaga ada video² short/reels bisa berat amat, pas mau buka produk, malah force close, aneh dah, sebelumnya loadingnya lama buan main, sekarang benar² force close, padahal gw buka shopee di nih Hp lancar jaya",1,berat nih aplikasi shopee yg video aja kaga berat nih aplikasi yg fungsi beli aja kaga video shortreels berat pas buka produk force close aneh loadingnya buan main benar force close buka shopee nih hp lancar jaya,positif
pengembalian saldo terlalu lama,1,kembali saldo,positif
"Tolong segera di fix dong untuk daftar transaksi nya, hilang dan eror terus, jika error begitu jadi tidak bisa mantau paket kita yang sedang dikirim, tolong segera di tindak lanjuti 🙏🙏🙏",3,tolong fix daftar transaksi nya hilang eror error mantau paket kirim tolong tindak lanjut,positif
"kok sekarang Tokopedia jadi jelek abis yak? mulai dari riwayat belanja gak ke tampilan semua, upload foto cuma bisa satu"", daftar harga barang gak ada di tampilan utama. gara"" di ambil alih tiktoket jadi jelek abis najisss.. balikin gak kyk yg dulu!",1,tokopedia jelek abis yak riwayat belanja tampil upload foto daftar harga barang tampil utama gara ambil alih tiktoket jelek abis najisss balikin kyk yg,negatif
e-commerce terburuk!,1,ecommerce buruk,negatif
sippp,5,sippp,netral
Tokopedia ga bermanfaat sama sekali,1,tokopedia manfaat,positif
mataaapzzzzz,5,mataaapzzzzz,netral
ongkirnya gak ngotak bos,1,ongkirnya ngotak bos,positif
sangat baik,5,,netral
OK,5,oke,positif
"transaksi tgl 6 juni hilang padahal saldo tokopedia sudah terpotong 52.330, aplikasi error udah ga aman",5,transaksi tanggal juni hilang saldo tokopedia potong aplikasi error aman,negatif
mantappp,5,mantappp,netral
"weyy Tokopedia . bangun lepaskan intergrasi sama tiktok shopp..jelek banget sumpah selala gabung ,, ga ada penjualan ,,lebih baik Tokopedia sendiri",1,weyy tokopedia bangun lepas intergrasi tiktok shoppjelek banget sumpah lala gabung jual tokopedia,netral
aku puas,4,puas,positif
mantap,5,mantap,positif
pengguna baru GK di kasih promo hadeh...,2,guna kasih promo hadeh,positif
"Tolong admin alasan pembatalannya biar user ketik sendiri alasan dan argumennya krn bukan krn pembeli saja , penjual jg kadang2 tdk merespon (barang rertentu yg sangat urgent pakai go instant tapi dikirm besok atau beberapa hari )",5,tolong admin alas batal biar user ketik alas argumen krn krn beli jual kadang merespon barang rertentu yg urgent pakai go instant dikirm besok,positif
"mendingan pake aplikasi oren, ga ribet, memberi kenyamanan ber transaksi kepada pelanggan",1,mending pake aplikasi oren ribet nyaman ber transaksi langgan,positif
hati2 tokopedia aplikasi sampah...saya kehilangan dana 129500 gk bisa komunikasi diputer2 sama admin,1,hati tokopedia aplikasi sampahsaya hilang dana komunikasi puter admin,netral
"parah.. makin kemari makin ngaco. udh bertahun tahun make tokped, mau liat histori transaksi, malah ga ada history transaksinya.",2,parah kemari ngaco tahun make tokped liat histori transaksi history transaksi,positif
Apk nggak jelas jasa ekspedisi ganti 2 kali terus ngestuck dari tanggal 4 sampai sekarang nggak jelas banget,1,apk jasa ekspedisi ganti kali ngestuck tanggal banget,positif
"Mohon di perbaiki untuk fitur ajukan komplain, karena ketika pembeli sudah ajukan komplain sudah meng-upload video unboxing beserta foto² bukti. Tetapi ketika diskusi dengan pejual, dihalaman layar tidak ada menu untuk menambahkan video sehingga penjual bisa berdalih tidak ada video unboxing padahal video sudah dikirim lewat komplain tetapi tidak bisa di tambahkan karena tidak ada menu untuk menambahkan video hanya ada foto dan invoice. Mohon untuk pihak pengembang untuk melakukan upgrade 🙏",2,mohon baik fitur aju komplain beli aju komplain mengupload video unboxing serta foto bukti diskusi jual halaman layar menu video jual dalih video unboxing video kirim komplain tambah menu video foto invoice mohon kembang upgrade,positif
ongkir ngk ngotak,1,ongkir ngk ngotak,netral
👍👍👍👍👍,5,,netral
"ah udah males ama tokopedia pengiriman estimasi nya ga tepat, males adanya ""sicepat"" itumah ""silambat"" 👎👎👎👎👎",1,ah males ama tokopedia kirim estimasi nya males sicepat itumah silambat,negatif
sangat puas,5,puas,positif
Kalo bisa jangan suka error,1,kalo suka error,negatif
"udah muak ku pake nih aplikasi makin sini makin nyusahin, komplain barang pake virtual asisten ga guna, ke cs langsung di tanya kapan masalah selesai jawab ga tau. kaya ga niat banget cuy. mana barang yg di beli butuh cepet dan harga lumayan, mau beli lagi di aplikasi sebelah cuma ni masalah belum kelar duitnya lumayan. udah kesekian kalinya pake kurir JNE gini dan setiap komplen kek gini mulu, mana cair duit nya lama hadeh. bukannya nyari solusi agar bisa melampaui apl sebelah malah memperburuk",1,muak ku pake nih aplikasi nyusahin komplain barang pake virtual asisten cs langsung selesai kaya niat banget cuy barang yg beli butuh cepet harga lumayan beli aplikasi belah ni kelar duit lumayan sekian kali pake kurir jne gin komplen kek gin mulu cair duit nya hadeh nyari solusi lampau apl belah buruk,negatif
Jos,5,jos,netral
mantap Poko ya..amanah banget,5,mantap poko yaamanah banget,positif
aplikasi ga jelas orng jelas jelas sudah belanja udh di bayar ga ada riwayat pengirimannya tulisanya blm belanja apa²,1,aplikasi orng belanja bayar riwayat kirim tulisanya blm belanja apa,negatif
ubah foto profil aja mesti ukuran maksimal gambar 2 KB. hadeuh... ga bisa ubah foto profil karena sulit dapat gambar sekecil itu,2,ubah foto profil aja mesti ukur maksimal gambar kb hadeuh ubah foto profil sulit gambar,positif
sangat puas,5,puas,positif
mudah dan gampang pengiriman cepat,5,mudah gampang kirim cepat,positif
"Bisa bisa nya toko yang udah jalan satu tahun nipu di report gabisa lagi, nyesel pindah kesini dari Si oren",1,nya toko jalan nipu report gabisa nyesel pindah kesini si oren,negatif
bagus,5,bagus,netral
"saya pesan barang kemarin ,dan hari ini saya cek daftar transaksi . ternyata transaksi saya tidak ada ( tidak ada transaksi ) . akhirnya saya beli barang lagi dengan toko yg berbeda , sore hari transaksi saya yg tidak ada ,muncul lagi. saya jadinya beli 2 barang yg sama dan pembatalan di tolak , ini toped gimana ya ? saya jd harus bayar 2 barang , yg mana kesalahan dr toped karena daftar transaksi sedang bermasalah.... dan tidak ada penyelesaian setelah saya live chatt toped...?",1,pesan barang kemarin cek daftar transaksi transaksi transaksi beli barang toko yg beda sore transaksi yg muncul beli barang yg batal tolak toped gimana ya bayar barang yg salah dr toped daftar transaksi masalah selesai live chatt toped,positif
"jelek aplikasiii sangat jelek, melakukan pembatan lgak bisa, gak kaya aplikasj sebelah melakukan pengembalian aja dipersulit",1,jelek aplikasiii jelek pembatan lgak kaya aplikasj belah kembali aja sulit,negatif
luaaar biasa,5,luaaar,netral
"knp riwayat transaksi,sama transaksi yg berlangsung hilang ya",5,riwayat transaksisama transaksi yg hilang ya,positif
"kenapa pesanan yang belum saya terima menghilang dari aplikasi , dan semua yang sudah saya pesan tidak ada riwayatnya?",1,pesan terima hilang aplikasi pesan riwayat,netral
menyenangkan dan nggak ribet.,5,senang ribet,negatif
mau bertanya apakah sedang eror aplikasi tokped? karena pesanan saya sudah dibayar dan tadi pagi sudah saya lihat ada barangnya namun sedang menunggu kurir. namun siang ini malah tidak ada barang yang saya beli maupun pembayarannya tidak bisa saya lihat,3,eror aplikasi tokped pesan bayar pagi lihat barang tunggu kurir siang barang beli bayar lihat,netral
"Sudah lama pakai aplikasi Tokopedia, sangat memuaskan . semoga kedepannya semakin maju dalam segala hal . terimakasih Tokopedia",5,pakai aplikasi tokopedia muas moga depan maju terimakasih tokopedia,positif
"Tokopedia sudah tidak bisa melihat daftar transaksi terdahulu dan itu sangat mengganggu, karna saya ingin melihat transaksi-transaksi terdahulu untuk mencari toko tempat saya belanja dulu dan ingin mengetahui detail transaksinya... tolong di perbaiki",1,tokopedia daftar transaksi ganggu karna transaksitransaksi cari toko belanja detail transaksi tolong baik,positif
mantap,5,mantap,positif
mantaaaappp tokopedia,5,mantaaaappp tokopedia,netral
"udah bayar segala macem,kok tiba² pagi tadi riwayat transaksi saksi hilang t4i banget",1,bayar macemkok tiba pagi riwayat transaksi saksi hilang ti banget,positif
"beli kabel LAN dan conector ethernet cod malah log out/disuruh login lagi,udah pesen lagi,malah transaksi error/tidak ada tranksasi pembeliannya,aplikasi e commerce lucu",1,beli kabel lan conector ethernet cod log outdisuruh login lagiudah sen lagimalah transaksi errortidak tranksasi pembeliannyaaplikasi e commerce lucu,positif
kntd update gaguna makin gak nyan bb,1,kntd update gaguna nyan bb,netral
terima kasih semoga diskon pembelian pulsanya nya di tambah banyak lagi,5,terima kasih moga diskon beli pulsa nya,positif
pembaharuan sistem koq...lama beneerrr,2,baharu sistem koqlama beneerrr,negatif
bagus sekali,5,bagus,netral
minta bantu pak pernah order dan tidak sampai barangnya uangnya dikembalikan hanya saja waktunya tidak dapat dikembalikan ini pesan banyak barang namun malah eror di aplikasi tidak tertera di transaksi smentara kata toko ada kendala... minta bantu pencerahan pak,3,bantu order barang uang kembali kembali pesan barang eror aplikasi tera transaksi smentara toko kendala bantu cerah,negatif
"barang bagus bisa cod cek dulu, KLO BS pengiriman opsi murah",5,barang bagus cod cek kirim opsi murah,netral
riwayat transaksi tidak ada,1,riwayat transaksi,positif
"skrg lagi eror, pesanan yang sedang di kirim (pesanan aktif) tidak bisa dilihat di tombol pesanan nya malah tidak ada pesanan, harus buka chat toko ny dulu trus buka link checkout produknya",1,skrg eror pesan kirim pesan aktif tombol pesan nya pesan buka chat toko ny trus buka link checkout produk,positif
tidak bisa cod uniinstal,1,cod uniinstal,netral
"pembatalan paket yang lama datang, lama sekali di proses, tokopedia lama2 gak jelas",4,batal paket proses tokopedia,positif
trend model apapun yang terjadi saat ini baik untuk meningkatkan hasil yang memuaskan,5,trend model apa tingkat hasil muas,positif
tolong kenapa di menu transaksi hilang semua barang yg sedang di proses dan yg sudah sampai,4,tolong menu transaksi hilang barang yg proses yg,positif
"aplikasi gembel, history belanja malah dihapus.. bener bener geblek",1,aplikasi gembel history belanja hapus bener bener geblek,negatif
"semua status belanja tidak ada, GIMANA CARANYA kita bisa tracking dan tau. belanja kita sudah sampai mana",1,status belanja gimana tracking belanja,netral
suka sering keluar sendri. dan mau login kembali tulisanan kode error,1,suka sendri login tulisanan kode error,negatif
"banyak bug sekarang, kurir gak ada yang mau jemput gimana sih, status pesanan gak update update nungguin kurir terus",1,bug kurir jemput gimana sih status pesan update update nungguin kurir,netral
"semenjak di beli tiktok (pemegang saham terbesar) jadi ga jelas sering error, search barang susah, error sana sini. sebentar lagi nama tokopedia musnal kali ya di ganti tiktokpedia shop 'maybe', gimana mau maju kalo kek gini app bagus punya anak bangsa bukanya lebih ditingkatkan malah di jual ke tiktok demi 'yah you know lah guys'. lebih suka di toped dari pada app sebelah tapi malah berakhir seperti ini, jujur sedih",1,semenjak beli tiktok pegang saham besar error search barang susah error sebentar nama tokopedia musnal kali ya ganti tiktokpedia shop maybe gimana maju kalo kek gin app bagus anak bangsa buka tingkat jual tiktok yah you know guys suka toped app belah jujur sedih,negatif
"tokopedia ini gimana sih, sy belanja n sdh transfer sy cek di riwayat transaksi malah keterangan nya blm pernah ada transaksi sama sekali, dicek di proses gak ada, dicek di.kirman gak ada...pdhl.jelas sdh sy bayar sdh sy transfer pembayaran, trus uang pembayaran sy kemana",2,tokopedia gimana sih sy belanja n transfer sy cek riwayat transaksi terang nya blm transaksi cek proses cek dikirman adapdhljelas sy bayar sy transfer bayar trus uang bayar sy mana,netral
"kebiasaan buruk tokopedia gratis ongkirnya scam parah, mau cekout harga meledak sprempat harga parahhhhhh👎👎👎👎",1,biasa buruk tokopedia gratis ongkirnya scam parah cekout harga ledak sprempat harga parahhhhhh,netral
memuaskan... 👍,5,muas,positif
ancur penyelesai. dana nya kelamaan bikin bangkrut,3,ancur selesai dana nya bikin bangkrut,netral
ga bisa di cari barang lemot,1,cari barang lot,negatif
"loh kok banyak bugnya, riwayat transaksi hilang?",1,loh bugnya riwayat transaksi hilang,positif
belanja online,5,belanja online,netral
"apk lemot banget, padahal jaringan normal2 aja",2,apk lot banget jaring normal aja,positif
"apalah sistem pengiriman hilang, walU dibiliang pengiriman masih normal tapi saya jadi ga tau dimana dan kapan paketnya datang. ayolah cepetan fix problemnya, mana kemarin udh deket paketnya cuma blm dikirim karena hari raya, karena saya kerja jadi ga tau paket datang atau di simpan digudang. CEPETAN ATASI😡",1,apa sistem kirim hilang walu dibiliang kirim normal mana paket ayo cepetan fix problem kemarin deket paket blm kirim raya kerja paket simpan gudang cepetan atas,positif
"maintenance nya membuat pesanan saya hilang, tidak ada solusi yang diberikan",1,maintenance nya pesan hilang solusi,positif
"untuk kali ini saya benar² kecewa dengan Tokopedia,saya belanja dua barang tetapi tidak bisa di cek barang tersebut sedang di proses ataupun dalam pengiriman.di riwayat belanja tidak ada sama sekali..",1,kali benar kecewa tokopediasaya belanja barang cek barang proses pengirimandi riwayat belanja,netral
tampilan menu transaski berubah ubah trus dan sering error. tolong utk menu transaksi di tampilkan di depan agar mempermudah pengecekan status barang,1,tampil menu transaski ubah ubah trus error tolong utk menu transaksi tampil mudah kece status barang,netral
Terima kasih TOPED dan Jasa Pengirim...meskipun tujuan alamat Ayu tingting ( alias salah alamat ) tapi pihak pengirim terus berusaha agar pesanan saya sampai ke tangan saya.,5,terima kasih toped jasa pengirimmeskipun tuju alamat ayu tingting alias salah alamat kirim usaha pesan tangan,positif
"Bentar lagi mati nih,dipaksa pindah ke tiktokshop",3,bentar mati nihdipaksa pindah tiktokshop,netral
bagus sangat membantu,5,bagus bantu,netral
saya habis pesan barang sudah saya bayar tapi Kok barang yang saya beli hilang dari daftar pesanan saya tidak ada kelanjutan dari pihak tokopedia,1,habis pesan barang bayar barang beli hilang daftar pesan lanjut tokopedia,netral
"mau kembaliin barang, tapi status transaksinya ga ada, padahal baru sehari sampai, aneh nih tokped. ga lagi dah make nih app.",1,kembaliin barang status transaksi hari aneh nih tokped make nih app,positif
latest update lemot parah,1,latest update lot parah,negatif
susah banget daftarnya baru mau masukin kode sdh harus diulang lagi...ulang lagi...durasinya terlalu pendek..sebenar nya ini aplikasi bagus banget..tp entah kenapa tiba tiba...jadi begini.. saya disuruh daftar lagi..,2,susah banget daftar masukin kode ulang lagiulang lagidurasinya pendeksebenar nya aplikasi bagus bangettp tibajadi suruh daftar,negatif
"transaksi error histori dan data transaksi saya hilang semua, tolong bantuannya soalnya ada barang saya yg belum sampai",1,transaksi error histori data transaksi hilang tolong bantu barang yg,netral
"jangan pake apl ini, bakal kecewa",1,pake apl kecewa,netral
"kembalikan tokped seperti dulu, tik tok merusak tokopedia",2,kembali tokped tik tok rusak tokopedia,netral
"MAKIN NGAWUR INTERFACENYA, bener bener gajelas, dari feed, pencarian, sampe transaksi bisa hilang semua, history ga ditemukan, tolonglah kembalikan interface yg dulu, fokus ubah yg lain, tapi tampilan tetep sama. gapenting banget ubah ubah UI",1,ngawur interfacenya bener bener gajelas feed cari sampe transaksi hilang history temu tolong kembali interface yg fokus ubah yg tampil tetep gapenting banget ubah ubah ui,positif
"Aplikasi tgl 7 Juni parah pengembangan sistem makin ngak jelas mau cek pengiriman obat buat orang tua ngak bisa keliatan,makin canggih makin sulit di pahami oleh pemakai dan komunikasi sama admin Tokopedia pun sangat ngak membantu, bicara pakai sistem yg tidak jelas menyebabkan kerugian pemakaian aplikasi ini.",1,aplikasi tanggal juni parah kembang sistem ngak cek kirim obat orang tua ngak keliatanmakin canggih sulit paham pakai komunikasi admin tokopedia ngak bantu bicara pakai sistem yg sebab rugi pakai aplikasi,negatif
gak bisa kirim foto ulasan di Toped guncang 66,1,kirim foto ulas toped guncang,positif
aplikasi terjelek,1,aplikasi jelek,negatif
ADMIN TOLONGIIINNNN INI!!!😭😭 ini kenapa barang yang udah aku checkout dan sudah dikirim malah ilang listnya di pengiriman... padahal kemarin masih ada produknya dan bisa dilacak.... . . . . eh ga jadi komplain deh udah ketemu ternyata hehehhe 😁✌,5,admin tolongiiinnnn barang checkout kirim ilang listnya kirim kemarin produk lacak eh komplain deh ketemu hehehhe,positif
"pembayaran saya berhasil tapi tidak dapat menemukan invoice pemesan, mau dilaporin ke Tokopedia nya, fitur di aplikasi tidak membantu, ini gimana ya, berasa dirampok saya",1,bayar hasil temu invoice mes dilaporin tokopedia nya fitur aplikasi bantu gimana ya asa rampok,positif
"Bagaimana Tokopedia, kenapa riwayat transaksi tidak bisa muncul di aplikasi..?",3,tokopedia riwayat transaksi muncul aplikasi,netral
tempat enak buat beli barang elektronik ataupun kebutuhan gueh,5,enak beli barang elektronik butuh gueh,negatif
"gara2 maintenance ngga bisa liat status transaksi di bawa kurir udah sampe mana,kasian kurirnya kalo saya tidak di rumah",2,gara maintenance liat status transaksi bawa kurir sampe manakasian kurir kalo rumah,positif
"udah bagus tapi terkadang ngebug jir,kek ini juga tiba2 ga bisa cek pesanan yang dikirim katanya ga ada pesanan padahal ada",4,bagus terkadang ngebug jirkek cek pesan kirim pesan,positif
perbaharuan system kok riwayat transaksi jadi eror dan hilang semua ya,4,baharu system riwayat transaksi eror hilang ya,positif
"jelek anj!!!!! udah co barang,ga ada keterangan nya udah sampe mana,malah kosong,padahal udah di bayar juga, aplikasi jelek!!!",1,jelek anj co barangga terang nya sampe manamalah kosongpadahal bayar aplikasi jelek,negatif
"kurir rekomendasi nya betul² cacad. paket yg harusnya sampe 2 hari telatnya lama banget. kerjasama tokped sama jasa kirim jelek kayaknya. dahlah mending di Shopee/lazada aja, kurirnya agak mendingan.",1,kurir rekomendasi nya betul cacad paket yg sampe telat banget kerjasama tokped jasa kirim jelek kayak dah mending shopeelazada aja kurir mending,positif
"sering bug, kaya daftar belanja yang ilang tiba tiba",4,bug kaya daftar belanja ilang,negatif
ga sesuai,1,sesuai,positif
Apk online shop sering erorrrrrrrr,1,apk online shop erorrrrrrrr,netral
bagus produknya murah murah banyk diskon tapi ngeselin bgt suka tiba tiba ilang produk yg kita pesan padahal asalnya masi ada di proses trs pas di cek tiba tiba udh ilang,3,bagus produk murah murah banyk diskon ngeselin bgt suka ilang produk yg pesan asal mas proses trs pas cek ilang,positif
"kecewa banget, gak ada kupon pengguna baru aku pk yang ibuku ada diskon 40 rb, tapi pas aku login gak ada, padahal aku gak pernah co di Tokopedia, HP ku jg baru, no nya juga, di cari cari ga ada ada nya juga voucher 9rb itu juga 10 persen",1,kecewa banget kupon guna pk ibu diskon rb pas login co tokopedia hp ku no nya cari cari nya voucher rb persen,positif
history belanja/transaksi hilangggggg😭😭,1,history belanjatransaksi hilangggggg,netral
"aplikasi sering error, mulai dari uratkan barang harga terendah tetap tidak urut dan transaksi saya hilang padahal tadi nya setatus sedang dikirim.",1,aplikasi error urat barang harga rendah urut transaksi hilang nya setatus kirim,netral
transaksi saya sekarang ilang semua... tolong dong bagaimana ini toped,2,transaksi ilang tolong toped,netral
"gimana ni tokopedia, saya sudah beli barang kok gak ada barang saya dimenu transaksi.",3,gimana ni tokopedia beli barang barang menu transaksi,positif
keren cepat sekali mudah mudah an promonya berlanjut,5,keren cepat mudah mudah an promonya lanjut,netral
Ok,5,oke,positif
"tiba tiba transaksi di Tokopedia,pesanan tidak ada,tolong perbaiki sdh dari semalam",1,transaksi tokopediapesanan adatolong baik malam,netral
Transaksi bermasalah.,1,transaksi masalah,netral
kenapa setelah di update tidak terlihat status pengirimannya,2,update status kirim,positif
iklan tai,1,iklan tai,negatif
"sering gangguan, beda sm aplikasi sebelah",2,ganggu beda sm aplikasi belah,negatif
"dengan ringan hati saya ingin bertanya bagaimana bisa pembelian saya tiba2 lenyap tanpa kabar dan tiba² tidak ada informasi padahal kemaren malem saya habis check out,dan untuk pengaturan penggantian alamat di sini cenderung susah karena harus di tanggal akhirnya tolong segera di perbaiki min",2,ringan hati beli lenyap kabar tiba informasi kemaren malem habis check outdan atur ganti alamat cenderung susah tanggal tolong baik min,negatif
semakin kesini app tokped semakin gak jelas pengirimanya karna sekarang jadi pindah2 expedisi nya membuat terhambat pengiriman app makin gak jelas makanya saya unistal,1,kesini app tokped pengirimanya karna pindah expedisi nya hambat kirim app unistal,netral
"woi ,mau liat transaksi hari ini kok g ada gimana sih apk aneh",1,woi liat transaksi gimana sih apk aneh,positif
ini kenapa ya setelah update kok barang saya yg udah d bayar dan d proses gak ada d transaksi,3,ya update barang yg d bayar d proses d transaksi,positif
membantu,5,bantu,netral
"Daftar riwayat transaksi hilang direset semua,bahkan transaksi yg sedang berlangsung/dalam proses pengiriman kurir pun ikut hilang,terus gimana kalau mau melacaknya...",2,daftar riwayat transaksi hilang direset semuabahkan transaksi yg berlangsungdalam proses kirim kurir hilangterus gimana lacak,positif
INI RIWAYAT TRANSAKSI SAYA KOK ILANG SEMUA!!! BAHKAN KEMARIN SAYA BARU SAJA CHECKOUT PRODUK TAPI SEKARANG TRANSAKSINYA GAK BISA DICEK!!! INI TOKOPEDIA MAKIN LAMA KOK MAKIN NGACOO!!!,1,riwayat transaksi ilang kemarin checkout produk transaksi cek tokopedia ngacoo,positif
"Setelah update tampilan malah jadi kacau, mau buka bagian toko favorit aja cuma nge blank putih ga muncul list tokonya, diskusi produk juga malah dihilangkan. Bukannya tambah bagus malah jadi jelek UI nya",2,update tampil kacau buka toko favorit aja nge blank putih muncul list toko diskusi produk hilang bagus jelek ui nya,netral
"saya beli kias angin sudah bayar barang tidak ada namun transaksi hilang, sedang di proses pun tidak ada, saya ada bukti pembayaran nya dan foto transaksi, dan saya akan viralkan",1,beli kias angin bayar barang transaksi hilang proses bukti bayar nya foto transaksi viralkan,positif
